id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
400080,15767,3452,21.8938288831,99.7747747748,1965-01-04,1998-12-19
402626,15078,2591,17.1839766547,99.5495495495,1969-01-03,1998-12-19
400440,13985,2315,16.5534501251,99.3243243243,1973-03-14,1998-12-19
409633,5008,751,14.9960063898,99.0990990991,1989-01-03,1998-03-25
400271,536,75,13.9925373134,98.8738738739,1998-02-11,1998-12-19
400409,8180,1120,13.6919315403,98.6486486486,1983-01-03,1998-12-19
400572,15574,1975,12.6813920637,98.4234234234,1963-01-09,1998-12-19
404139,5871,734,12.5021291092,98.1981981982,1987-01-06,1997-11-13
400085,14903,1789,12.0042944374,97.972972973,1969-12-01,1998-12-19
407400,16302,1931,11.8451723715,97.7477477477,1963-01-09,1998-12-19
400201,4581,537,11.7223313687,97.5225225225,1991-01-03,1998-12-19
400146,11797,1339,11.3503433076,97.2972972973,1977-01-04,1998-12-19
400425,13013,1473,11.319449781,97.0720720721,1975-01-14,1998-12-19
400387,14085,1566,11.1182108626,96.8468468468,1973-01-03,1998-12-19
404190,8451,936,11.0756123536,96.6216216216,1981-01-05,1997-11-10
410407,15086,1649,10.930664192,96.3963963964,1969-01-03,1998-12-19
400580,10218,1078,10.5500097867,96.1711711712,1979-01-15,1998-12-19
400166,3649,376,10.3041929296,95.9459459459,1993-01-05,1998-12-19
400595,8490,872,10.2709069494,95.7207207207,1982-07-15,1998-12-19
400333,14648,1469,10.0286728564,95.4954954955,1971-01-21,1998-12-19
400306,8209,808,9.84285540261,95.2702702703,1983-01-03,1998-12-19
400021,3649,349,9.56426418197,95.045045045,1993-01-05,1998-12-19
400600,14115,1333,9.44385405597,94.8198198198,1973-01-03,1998-12-19
400110,16913,1593,9.41879027967,94.5945945946,1956-01-31,1998-12-19
400003,8213,767,9.33885303787,94.3693693694,1983-01-03,1998-12-19
400067,1180,110,9.32203389831,94.1441441441,1997-01-21,1998-12-19
405313,13091,1198,9.15132533802,93.9189189189,1975-01-14,1998-12-19
409228,3459,314,9.07776814108,93.6936936937,1991-01-03,1998-12-19
400088,2527,229,9.06212900673,93.4684684685,1995-01-04,1998-12-19
400143,10290,920,8.9407191448,93.2432432432,1979-01-15,1998-12-19
400538,10300,900,8.73786407767,93.018018018,1979-01-15,1998-12-19
403364,14188,1233,8.69044262757,92.7927927928,1971-01-21,1998-02-05
400025,8208,710,8.65009746589,92.5675675676,1983-01-03,1998-12-19
400278,13038,1119,8.58260469397,92.3423423423,1975-01-14,1998-12-19
400170,3649,312,8.55028775007,92.1171171171,1993-01-05,1998-12-19
400286,14142,1195,8.45000707114,91.8918918919,1973-01-03,1998-12-19
410889,8211,685,8.34246742175,91.6666666667,1983-01-03,1998-12-19
400350,3648,302,8.27850877193,91.4414414414,1993-01-05,1998-12-19
400243,8216,673,8.19133398247,91.2162162162,1983-01-03,1998-12-19
404587,8005,651,8.13241723923,90.990990991,1979-01-15,1998-12-19
400138,1187,96,8.08761583825,90.7657657658,1997-01-07,1998-12-19
400522,1187,93,7.8348778433,90.5405405405,1997-01-07,1998-12-19
400239,10250,798,7.78536585366,90.3153153153,1979-01-15,1998-12-19
400203,1187,92,7.75063184499,90.0900900901,1997-01-07,1998-12-19
406863,11307,857,7.57937560803,89.8648648649,1977-09-08,1998-12-19
411947,17418,1299,7.45780227351,89.6396396396,1949-01-03,1998-12-19
400422,4581,340,7.42196027068,89.4144144144,1991-01-03,1998-12-19
400311,4661,345,7.40184509762,89.1891891892,1976-04-07,1998-12-19
400130,2527,186,7.36050652948,88.963963964,1995-01-04,1998-12-19
400327,3649,262,7.18004932858,88.7387387387,1993-01-05,1998-12-19
400397,9388,669,7.12611844908,88.5135135135,1980-05-22,1998-12-19
400122,5485,390,7.11030082042,88.2882882883,1989-01-03,1998-12-19
404634,16481,1163,7.05661064256,88.0630630631,1962-01-30,1998-12-19
300087,9022,633,7.0161826646,87.8378378378,1981-01-05,1998-12-19
400501,1187,82,6.90817186184,87.6126126126,1997-01-07,1998-12-19
400502,3649,249,6.823787339,87.3873873874,1993-01-05,1998-12-19
400540,8444,576,6.82141165324,87.1621621622,1977-01-04,1998-12-19
400211,8199,545,6.64715209172,86.9369369369,1983-01-03,1998-12-19
400527,11799,784,6.64463090092,86.7117117117,1977-01-04,1998-12-19
400231,9008,598,6.63854351687,86.4864864865,1981-01-05,1998-12-19
400401,10214,672,6.57920501273,86.2612612613,1979-01-15,1998-12-19
400059,1187,78,6.57118786858,86.036036036,1997-01-07,1998-12-19
400261,5871,382,6.50655765628,85.8108108108,1988-04-27,1998-12-19
400439,14763,954,6.46210119894,85.5855855856,1971-01-21,1998-12-19
400552,8992,580,6.45017793594,85.3603603604,1981-01-05,1998-12-19
400018,7304,470,6.43483023001,85.1351351351,1985-01-03,1998-12-19
400586,13077,828,6.33172746043,84.9099099099,1975-01-14,1998-12-19
400608,2527,159,6.29204590423,84.6846846847,1995-01-04,1998-12-19
410084,6851,430,6.27645599183,84.4594594595,1983-01-03,1998-12-19
400043,8218,513,6.24239474325,84.2342342342,1983-01-03,1998-12-19
400012,6421,400,6.22955925868,84.009009009,1987-01-06,1998-12-19
400337,1187,73,6.149957877,83.7837837838,1997-01-07,1998-12-19
400511,3649,223,6.11126335982,83.5585585586,1993-01-05,1998-12-19
400377,11821,720,6.09085525759,83.3333333333,1977-01-04,1998-12-19
407141,7303,444,6.07969327674,83.1081081081,1985-01-03,1998-12-19
400217,1187,72,6.06571187869,82.8828828829,1997-01-07,1998-12-19
400191,9024,535,5.92863475177,82.6576576577,1981-01-05,1998-12-19
400428,6421,379,5.9025073976,82.4324324324,1987-01-06,1998-12-19
400537,13063,770,5.89451121488,82.2072072072,1975-01-14,1998-12-19
400083,5483,320,5.83622104687,81.981981982,1989-01-03,1998-12-19
400554,8978,522,5.81421251949,81.7567567568,1965-01-04,1998-12-19
400597,2527,146,5.77760189949,81.5315315315,1995-01-04,1998-12-19
400160,3649,208,5.70019183338,81.3063063063,1993-01-05,1998-12-19
400008,4581,261,5.6974459725,81.0810810811,1991-01-03,1998-12-19
400188,6417,363,5.65684899486,80.8558558559,1987-01-06,1998-12-19
400314,6257,351,5.60971711683,80.6306306306,1987-06-09,1998-12-19
400163,3649,204,5.59057275966,80.4054054054,1993-01-05,1998-12-19
400312,5477,302,5.51396750046,80.1801801802,1989-01-03,1998-12-19
400593,2528,139,5.49841772152,79.954954955,1994-11-29,1998-12-19
400569,8212,451,5.491962981,79.7297297297,1983-01-03,1998-12-19
400366,5070,277,5.46351084813,79.5045045045,1990-03-28,1998-12-19
400582,2527,137,5.42144835774,79.2792792793,1995-01-04,1998-12-19
404375,3649,195,5.34392984379,79.0540540541,1993-01-05,1998-12-19
400192,13069,696,5.32557961588,78.8288288288,1975-01-14,1998-12-19
400140,9026,478,5.29581209838,78.6036036036,1981-01-05,1998-12-19
400048,3649,193,5.28912030693,78.3783783784,1993-01-05,1998-12-19
400302,8200,432,5.26829268293,78.1531531532,1983-01-03,1998-12-19
400430,1187,62,5.22325189553,77.9279279279,1997-01-07,1998-12-19
400402,3513,181,5.15229148876,77.7027027027,1993-04-20,1998-12-19
400268,5485,282,5.14129443938,77.4774774775,1989-01-03,1998-12-19
400319,1187,61,5.13900589722,77.2522522523,1997-01-07,1998-12-19
400109,11829,604,5.10609518979,77.027027027,1977-01-04,1998-12-19
400331,11752,590,5.02042205582,76.8018018018,1977-01-04,1998-12-19
400253,11831,592,5.0038035669,76.5765765766,1977-01-04,1998-12-19
400197,3649,181,4.96026308578,76.1261261261,1993-01-05,1998-12-19
400513,3649,181,4.96026308578,76.1261261261,1993-01-05,1998-12-19
401587,1980,98,4.94949494949,75.9009009009,1995-01-04,1997-11-13
408476,5483,268,4.88783512676,75.6756756757,1989-01-03,1998-12-19
407817,4240,206,4.85849056604,75.4504504505,1990-03-27,1997-07-31
400330,2527,121,4.78828650574,75.2252252252,1995-01-04,1998-12-19
400100,6420,305,4.7507788162,75.0,1987-01-06,1998-12-19
400291,5485,260,4.74020054695,74.7747747748,1989-01-03,1998-12-19
400533,9018,417,4.62408516301,74.5495495495,1981-01-05,1998-12-19
400283,4581,211,4.60598122681,74.3243243243,1991-01-03,1998-12-19
400289,3649,168,4.60400109619,74.0990990991,1993-01-05,1998-12-19
400416,3649,167,4.57659632776,73.8738738739,1993-01-05,1998-12-19
400223,7648,350,4.57635983264,73.6486486486,1984-04-10,1998-12-19
