ID, ideology, leadership, name, party, description, introduced_bills_105, cosponsored_bills_105, unique_cosponsors_105, total_cosponsors_105
400557, 0.332030302318, 0.291522638404, Bryan, Democrat, moderate Democratic follower, 11, 125, 13, 21
300051, 0.0763827024455, 0.289257107377, Harkin, Democrat, lonely far-left Democratic , 33, 172, 34, 72
300067, 0.355933942474, 0.547885000017, Lieberman, Democrat, centrist Democrat, 12, 210, 45, 63
300059, 0.049480834341, 0.720573306133, Kennedy, Democrat, far-left Democratic leader, 34, 243, 62, 251
300060, 0.0272724654627, 0.295829019156, Kerry, Democrat, lonely far-left Democratic , 19, 220, 40, 86
402412, 0.247992822361, 0.779256385714, Chafee, Republican, centrist Republican leader, 58, 157, 92, 410
404598, 0.246742455722, 0.388763603442, Glenn, Democrat, rank-and-file Democrat, 12, 115, 17, 27
300157, 0.753074474882, 0.671944465695, Thurmond, Republican, rank-and-file Republican, 45, 160, 69, 159
300016, 0.415184388736, 0.5006833738, Byrd, Democrat, centrist Democrat, 9, 69, 67, 85
300150, 0.699419428637, 0.697757161008, Murkowski, Republican, rank-and-file Republican, 72, 199, 81, 179
300023, 0.754421101387, 0.581186671323, Cochran, Republican, rank-and-file Republican, 20, 273, 62, 99
300015, 0.766060566005, 0.588738495293, Burns, Republican, rank-and-file Republican, 24, 185, 85, 216
403968, 0.95772062235, 0.632183475962, Faircloth, Republican, far-right Republican, 48, 266, 99, 247
300069, 0.969551511708, 0.999803076185, Lott, Republican, far-right Republican leader, 102, 168, 99, 1001
300072, 0.858685795246, 0.499316160868, McConnell, Republican, rank-and-file Republican, 23, 119, 81, 157
300089, 0.775743015321, 0.582457613237, Shelby, Republican, rank-and-file Republican, 23, 152, 53, 133
300029, 0.869678015796, 0.560116727851, Craig, Republican, rank-and-file Republican, 28, 202, 76, 141
404219, 0.393547622752, 0.417621403104, Ford, Democrat, centrist Democrat, 19, 157, 47, 71
300009, 0.223808053089, 0.440412369853, Bingaman, Democrat, rank-and-file Democrat, 26, 177, 34, 50
300036, 0.630409834933, 0.785271149394, Domenici, Republican, centrist Republican leader, 41, 120, 92, 299
406256, 0.840992863226, 0.699763097359, Kempthorne, Republican, rank-and-file Republican, 8, 140, 78, 162
300037, 0.184941755872, 0.585847465434, Dorgan, Democrat, rank-and-file Democrat, 39, 173, 82, 235
300094, 0.622891439525, 0.596979660516, Stevens, Republican, centrist Republican, 19, 120, 77, 155
300007, 0.787085003012, 0.283877879946, Bennett, Republican, moderate Republican follower, 17, 122, 32, 38
300031, 0.210997199748, 0.816223434882, Daschle, Democrat, moderate Democratic leader, 61, 246, 69, 394
300026, 0.200797064693, 0.350509589502, Conrad, Democrat, rank-and-file Democrat, 15, 154, 54, 84
300053, 0.36119643211, 0.479795741108, Hollings, Democrat, centrist Democrat, 20, 206, 49, 81
300005, 0.340480423175, 0.531337922488, Baucus, Democrat, rank-and-file Democrat, 23, 139, 73, 134
300061, 0.247915733011, 0.328776733344, Kohl, Democrat, rank-and-file Democrat, 25, 125, 36, 51
400561, 0.260571294257, 0.366569857861, Kerrey, Democrat, rank-and-file Democrat, 17, 149, 53, 69
300071, 0.786362171273, 0.843979588548, McCain, Republican, moderate Republican leader, 74, 148, 97, 394
300056, 0.144141587485, 0.540129503786, Inouye, Democrat, rank-and-file Democrat, 47, 246, 38, 56
300066, 0.13955888734, 0.307918770239, Levin, Democrat, rank-and-file Democrat, 21, 165, 52, 70
300086, 0.15687104905, 0.461775973983, Sarbanes, Democrat, rank-and-file Democrat, 19, 122, 35, 68
300073, 0.0, 0.434714245006, Mikulski, Democrat, far-left Democrat, 12, 212, 62, 111
403142, 0.487197043455, 0.937641025894, D'Amato, Republican, centrist Republican leader, 79, 302, 96, 553
402675, 0.849987551723, 0.308812350936, Coats, Republican, moderate Republican follower, 14, 145, 29, 45
300092, 0.419921678203, 0.778756813613, Specter, Republican, centrist Republican leader, 75, 121, 93, 369
