ID, ideology, leadership, name, party, description, introduced_bills_108, cosponsored_bills_108, unique_cosponsors_108, total_cosponsors_108
400428, 0.715935492779, 0.773230071342, Weldon [PA7], Republican, moderate Republican leader, 17, 210, 336, 636
400123, 0.892449589369, 0.982656965012, English, Republican, far-right Republican leader, 61, 424, 405, 1370
400174, 0.859092298525, 0.718097658608, Hefley, Republican, rank-and-file Republican, 25, 181, 136, 190
400034, 0.924027921671, 0.79074870435, Blunt, Republican, far-right Republican leader, 13, 184, 207, 285
400004, 0.835571302685, 0.423996173087, Aderholt, Republican, rank-and-file Republican, 6, 127, 120, 155
400219, 0.633645144952, 0.866791320204, King [NY3], Republican, centrist Republican leader, 40, 253, 381, 1254
400367, 1.0, 0.889505145986, Sessions, Republican, far-right Republican leader, 53, 331, 326, 698
400337, 0.3930767603, 0.291209184146, Reyes, Democrat, rank-and-file Democrat, 13, 324, 61, 122
400177, 0.496108367478, 0.348362014832, Hill, Democrat, centrist Democrat, 9, 136, 125, 178
400364, 0.344292227884, 0.188244084966, Scott [VA3], Democrat, moderate Democratic follower, 4, 223, 55, 73
400209, 0.99359608977, 0.78476677122, Jones [NC3], Republican, far-right Republican leader, 23, 333, 294, 574
400197, 0.82119388254, 0.678224715721, Istook, Republican, rank-and-file Republican, 9, 91, 190, 318
400023, 0.780928789049, 0.681959141576, Bereuter, Republican, rank-and-file Republican, 35, 223, 255, 460
400317, 0.879481742604, 0.549723904004, Peterson [PA5], Republican, far-right Republican, 8, 152, 101, 159
400302, 0.447553485987, 0.124350795952, Ortiz, Democrat, moderate Democratic follower, 8, 239, 40, 53
400105, 0.927846034497, 0.846661880625, DeMint, Republican, far-right Republican leader, 31, 211, 280, 659
400267, 0.789738439966, 0.733509699382, McKeon, Republican, rank-and-file Republican, 15, 150, 343, 567
400389, 0.691705170768, 0.323420993089, Stenholm, Democrat, centrist Democrat, 7, 285, 96, 118
400091, 0.850076522996, 0.924411499861, Cunningham, Republican, moderate Republican leader, 16, 223, 426, 897
400154, 0.915350698924, 0.800974906881, Goodlatte, Republican, far-right Republican leader, 12, 198, 149, 242
400104, 0.800229132151, 0.656434325002, DeLay, Republican, rank-and-file Republican, 34, 77, 191, 244
400191, 0.785091555807, 0.64089418932, Hunter, Republican, rank-and-file Republican, 23, 138, 127, 185
400127, 0.773385713278, 0.0794656699171, Everett, Republican, moderate Republican follower, 6, 100, 12, 14
