id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
404629,10510,3323,31.6175071361,99.0099009901,1953-01-07,1986-10-17
300059,10087,1984,19.6688807376,98.0198019802,1963-01-31,1986-10-17
300056,10142,1989,19.6115164662,97.0297029703,1963-01-31,1986-10-17
406653,6365,1240,19.4815396701,96.0396039604,1974-01-21,1986-10-17
407259,8552,1456,17.0252572498,95.0495049505,1969-01-06,1986-10-17
405212,8962,1202,13.4121847802,94.0594059406,1967-01-18,1986-10-17
410315,12643,1661,13.1377046587,93.0693069307,1947-11-26,1986-10-17
406918,12336,1612,13.0674448768,92.0792079208,1949-01-03,1986-10-17
411421,7925,987,12.4542586751,91.0891089109,1971-02-10,1986-10-17
403713,2157,263,12.1928604543,90.099009901,1981-01-20,1986-07-17
401391,7933,948,11.9500819362,89.1089108911,1971-02-10,1986-10-17
408898,3413,405,11.8663932025,88.1188118812,1979-02-22,1986-10-17
410242,7719,914,11.8409120352,87.1287128713,1971-06-14,1986-10-17
407355,6976,807,11.568233945,86.1386138614,1973-01-23,1986-10-17
300008,6974,794,11.3851448236,85.1485148515,1973-01-23,1986-10-17
405161,5859,665,11.3500597372,84.1584158416,1975-01-27,1986-10-17
300053,9091,1026,11.2858871411,83.1683168317,1967-01-18,1986-10-17
403700,8583,956,11.1382966329,82.1782178218,1969-01-06,1986-10-17
402990,8583,923,10.7538156822,81.1881188119,1969-01-06,1986-10-17
408420,8581,918,10.6980538399,80.198019802,1969-01-06,1986-10-17
406084,6980,746,10.6876790831,79.2079207921,1973-01-23,1986-10-17
300094,8517,862,10.1209346014,78.2178217822,1969-01-06,1986-10-17
405242,2356,238,10.1018675722,77.2277227723,1981-01-20,1986-10-17
404598,5859,577,9.84809694487,76.2376237624,1975-01-27,1986-10-17
402004,5848,571,9.76402188782,75.2475247525,1975-01-27,1986-10-17
403346,4535,430,9.48180815877,74.2574257426,1977-01-14,1986-10-17
408597,10544,995,9.43664643399,73.2673267327,1961-01-11,1986-10-17
300034,2353,218,9.26476838079,72.2772277228,1981-01-20,1986-10-17
400563,4558,392,8.60026327337,71.2871287129,1977-01-14,1986-10-17
402495,7936,655,8.25352822581,70.297029703,1971-02-10,1986-10-17
411271,4563,374,8.19636204252,69.3069306931,1977-01-14,1986-10-17
300150,2357,190,8.06109461179,68.3168316832,1981-01-20,1986-10-17
404444,5855,468,7.99316823228,67.3267326733,1975-01-27,1986-10-17
300036,6975,547,7.84229390681,66.3366336634,1973-01-23,1986-10-17
403669,3406,260,7.63358778626,65.3465346535,1979-02-22,1986-10-17
401709,3409,260,7.62687004987,64.3564356436,1979-02-22,1986-10-17
407268,4558,337,7.39359368144,63.3663366337,1977-01-14,1986-10-17
405321,4555,331,7.26673984632,62.3762376238,1977-01-14,1986-10-17
407622,4540,325,7.15859030837,61.3861386139,1977-01-14,1986-10-17
401918,198,14,7.07070707071,60.396039604,1986-07-22,1986-10-17
400927,3412,233,6.82883939039,59.4059405941,1979-02-22,1986-10-17
408939,3413,227,6.65104014064,58.4158415842,1979-02-22,1986-10-17
403397,2359,156,6.61297159813,57.4257425743,1981-01-20,1986-10-17
300065,5843,382,6.53773746363,56.4356435644,1975-01-27,1986-10-17
