"name" "district" "lat" "lon" "lead" "ideo" "sess"
"1" "Neil Abercrombie" "HI-01" "21.3239157838318" "-157.903124702714" 0.476317978077 0.23005384871 107
"2" "Aníbal Acevedo-Vilá" "PR-00" "18.2156983373113" "-66.4146667840265" 0.0664951471912 0.379012935059 107
"3" "Gary Ackerman" "NY-05" "40.5989978174321" "-73.8230285201481" 0.648611015592 0.240981211052 107
"4" "Robert Aderholt" "AL-04" "34.1196659889658" "-87.20027649199" 0.345651006672 0.813224541392 107
"5" "W. Akin" "MO-02" "38.6035732835933" "-90.5340268120008" 0.231762113188 0.638945361533 107
"6" "Thomas Allen" "ME-01" "43.8421393169134" "-69.9226208884375" 0.439283551674 0.283329556291 107
"7" "Robert Andrews" "NJ-01" "39.7917662235594" "-75.057794726189" 0.618745635375 0.359763775006 107
"8" "Joe Baca" "CA-42" "33.6790343407103" "-117.226238026781" 0.398375599932 0.348289003843 107
"9" "Spencer Bachus" "AL-06" "33.2633795814094" "-86.7129813389673" 0.600370681645 0.826995779742 107
"10" "Brian Baird" "WA-03" "46.2339900592936" "-122.249957719865" 0.391787191571 0.359393054156 107
"11" "Richard Baker" "LA-06" "30.3029355747908" "-91.0178089441493" 0.499187284981 0.839415130296 107
"12" "Tammy Baldwin" "WI-02" "42.9834167757917" "-89.7477842429426" 0.340979635194 0.266341306926 107
"13" "Cass Ballenger" "NC-10" "35.4319173597144" "-81.6349392275802" 0.627716755894 0.814621414178 107
"14" "Roscoe Bartlett" "MD-06" "39.499099508291" "-78.3876422642537" 0.670447182953 0.887690941869 107
"15" "Joe Barton" "TX-06" "32.2308156262336" "-96.6747241191297" 0.751471414763 0.77099303618 107
"16" "Charles Bass" "NH-02" "43.7692552700434" "-71.7187242615671" 0.719882078879 0.670279526893 107
"17" "Xavier Becerra" "CA-30" "34.2025201837" "-118.545061408317" 0.280595952636 0.296558180362 107
"18" "Douglas Bereuter" "NE-01" "41.3775643036052" "-96.8308922818834" 0.730618166073 0.729568242957 107
"19" "Shelley Berkley" "NV-01" "36.1375795227554" "-115.152238430084" 0.293486623667 0.303994188425 107
"20" "Howard Berman" "CA-26" "34.1693314817539" "-119.127097186739" 0.267616418444 0.230874041208 107
"21" "Robert Berry" "AR-01" "35.3019949628948" "-91.2468445269996" 0.380092219265 0.508126174877 107
"22" "Judy Biggert" "IL-13" "39.5120555056848" "-89.5194144339928" 0.507029640595 0.627517345009 107
"23" "Michael Bilirakis" "FL-09" "28.1169164499269" "-81.1953835372735" 1 0.687239181531 107
"24" "Sanford Bishop" "GA-02" "31.8210381671495" "-84.4114590171722" 0.369076736116 0.463334344722 107
"25" "Earl Blumenauer" "OR-03" "45.3931378986761" "-122.204104793413" 0.64853797425 0.288726194357 107
"26" "Roy Blunt" "MO-07" "36.9890735141955" "-93.6975604034323" 0.753205116579 0.88244055916 107
"27" "Sherwood Boehlert" "NY-23" "42.3400507958034" "-77.8422094155328" 0.60071169405 0.557085893562 107
"28" "John Boehner" "OH-08" "39.9038151674641" "-84.4155376713683" 0.573768915105 0.807040800157 107
"29" "Henry Bonilla" "TX-23" "30.3792986859269" "-102.362910510223" 0.583773913818 0.772175873699 107
"30" "Mary Bono Mack" "CA-44" "33.8185772941409" "-118.249617037251" 0.71258756442 0.694004698704 107
"31" "John Boozman" "AR-03" "36.0058694209824" "-93.5992099570847" 0.0101141087897 0.552583283881 107
"32" "Leonard Boswell" "IA-03" "41.2039617857257" "-94.6373720493223" 0.274654965476 0.462171054685 107
"33" "Frederick Boucher" "VA-09" "36.9922797683722" "-81.3196344993231" 0.191367861127 0.514670014266 107
"34" "Allen Boyd" "FL-02" "30.2808403180524" "-84.7318181931999" 0.107152542542 0.532776124339 107
"35" "Robert Brady" "PA-01" "39.9286270903171" "-75.212943757337" 0.162032986555 0.229305188089 107
"36" "Kevin Brady" "TX-08" "30.820523321207" "-95.54737157243" 0.53312277105 0.800149879999 107
"37" "Corrine Brown" "FL-03" "29.8356349111658" "-82.7367891944301" 0.396929931616 0.206450096878 107
"38" "Sherrod Brown" "OH-13" "41.156279700554" "-80.9701823059061" 0.655742922492 0.179561396777 107
"39" "Henry Brown" "SC-01" "32.7189349431993" "-80.1526999205334" 0.334888412299 0.671568178224 107
"40" "Richard Burr" "NC-05" "36.1410607004924" "-80.9687747193931" 0.770381543243 0.78222973148 107
"41" "Dan Burton" "IN-06" "39.4812408394759" "-85.3629353776345" 0.643734576101 0.83536452647 107
"42" "Stephen Buyer" "IN-05" "40.2539658773809" "-85.8612124712171" 0.384005784294 0.746549682374 107
"43" "Ken Calvert" "CA-43" "33.903637029787" "-118.335205252279" 0.754933363259 0.889180960875 107
